"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","total_input_tokens","total_output_tokens","total_cache_creation_tokens","total_cache_read_tokens"
"2026-02-01","gmondello","copilot","copilot_premium_request","Claude Opus 4.5","111","requests","0.04","4.440000000000003","4.440000000000003","0","False","1000","emea-avo-waffle","greg-test","44897","11976","1395060","1443242"
"2026-02-01","JarylW","copilot","copilot_premium_request","Claude Sonnet 4.5","34","requests","0.04","1.3600000000000005","1.3600000000000005","0","False","1000","GitHub-models-test-org","","28464","10649","853430","1648611"
"2026-02-01","LindseyB","copilot","copilot_premium_request","Claude Sonnet 4.5","9","requests","0.04","0.36","0.36","0","False","1000","evil-copilot-avocado","","15591","3602","199764","162925"
"2026-02-01","arilivigni","copilot","copilot_premium_request","Claude Sonnet 4.5","7","requests","0.04","0.28","0.28","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","481","1922","18403","36346"
"2026-02-01","gmondello","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","1000","emea-avo-waffle","greg-test","2822","1231","118684","228764"
"2026-02-02","gmondello","copilot","copilot_premium_request","Claude Opus 4.5","171","requests","0.04","6.840000000000005","6.840000000000005","0","False","1000","emea-avo-waffle","greg-test","41531","17052","2174823","3636597"
"2026-02-02","kathleenqin","copilot","copilot_premium_request","Claude Opus 4.5","33","requests","0.04","1.3200000000000003","1.3200000000000003","0","False","1000","github","[org team] cost-center-automation/the-a-team","625","2486","130848","141814"
"2026-02-02","JarylW","copilot","copilot_premium_request","Claude Sonnet 4.5","8","requests","0.04","0.32","0.32","0","False","1000","GitHub-models-test-org","","6819","2754","113276","131049"
"2026-02-02","some-natalie","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","1000","larger-runner-demo","","1905","56","0","0"
"2026-02-02","gmondello","copilot","copilot_premium_request","Claude Sonnet 4.5","9","requests","0.04","0.36","0.36","0","False","1000","emea-avo-waffle","greg-test","3754","1910","169434","282690"
"2026-02-02","LindseyB","copilot","copilot_premium_request","GPT-5","1","requests","0.04","0.04","0.04","0","False","1000","evil-copilot-avocado","","11877","2305","0","6528"
"2026-02-02","KittyChiu","copilot","copilot_premium_request","GPT-5.2","20","requests","0.04","0.8000000000000002","0.8000000000000002","0","False","1000","avocadosmash","","162995","11936","0","107520"
