"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2026-03-01","rhiannondach","copilot","copilot_premium_request","GPT-5.3-Codex","1","requests","0.04","0.0399999999999978","0.0399999999999978","0","False","1000","daily-planet-dev","compliance","0","0"
"2026-03-01","rhiannondach","copilot","copilot_premium_request","Claude Sonnet 4.6","296","requests","0.04","11.84","11.84","0","False","1000","dunder-mifflin-tech","","0","0"
"2026-03-01","rhiannondach","copilot","copilot_premium_request","GPT-5.1","179","requests","0.04","7.15999999999998","7.15999999999998","0","False","300","cyberdyne-sys","","0","0"
"2026-03-01","tromp-petty","copilot","copilot_premium_request","GPT-5.1","223","requests","0.04","8.92000000000001","8.92000000000001","0","False","1000","prestige-worldwide","data-eng","0","0"
"2026-03-01","larue24","copilot","copilot_premium_request","Claude Sonnet 4.6","109","requests","0.04","4.36000000000002","4.36000000000002","0","False","1000","vandelay-industries","devex","0","0"
"2026-03-01","larue24","copilot","coding_agent_premium_request","Coding Agent model","8","requests","0.04","0.31999999999998","0.31999999999998","0","False","1000","soylent-corp","frontend-guild","0","0"
"2026-03-01","larue24","spark","spark_premium_request","Claude Opus 4.5","335","requests","0.04","13.4","13.4","0","False","1000","springfield-nuclear","","0","0"
"2026-03-01","back-endGerlach","copilot","copilot_premium_request","Claude Opus 4.5","328","requests","0.04","13.12","13.12","0","True","300","umbrella-corp","","0","0"
"2026-03-01","heller-venge","copilot","coding_agent_premium_request","Coding Agent model","3","requests","0.04","0.120000000000022","0.120000000000022","0","False","1000","piedpiper","","0","0"
"2026-03-01","heller-venge","copilot","copilot_premium_request","GPT-5.3-Codex","362","requests","0.04","14.48","14.48","0","True","300","umbrella-corp","compliance","0","0"
"2026-03-01","heller-venge","copilot","copilot_premium_request","GPT-5.2","393","requests","0.04","15.72","15.72","0","False","1000","Bluth-Company","data-eng","0","0"
"2026-03-01","back-endStreich-Schu","copilot","copilot_premium_request","GPT-5.3-Codex","111","requests","0.04","4.44000000000001","4.44000000000001","0","False","300","vandelay-industries","data-eng","0","0"
"2026-03-01","back-endStreich-Schu","copilot","copilot_premium_request","GPT-5.2-Codex","2","requests","0.04","0.0800000000000204","0.0800000000000204","0","False","300","Bluth-Company","data-eng","0","0"
"2026-03-01","back-endStreich-Schu","copilot","copilot_premium_request","Claude Opus 4.6","228","requests","0.04","9.11999999999999","9.11999999999999","0","False","300","initech","data-eng","0","0"
